Actual,Predicted
COMEDY,ARTS & CULTURE
WOMEN,BUSINESS
ARTS & CULTURE,ARTS & CULTURE
CRIME,SPORTS
EDUCATION,EDUCATION
RELIGION,RELIGION
SPORTS,SPORTS
ARTS & CULTURE,ARTS & CULTURE
WOMEN,BUSINESS
EDUCATION,EDUCATION
SCIENCE,SCIENCE
RELIGION,RELIGION
ENTERTAINMENT,ENTERTAINMENT
MEDIA,MEDIA
ARTS & CULTURE,ARTS & CULTURE
ARTS & CULTURE,EDUCATION
WOMEN,EDUCATION
BUSINESS,TECH
EDUCATION,EDUCATION
SPORTS,SPORTS
TECH,TECH
BUSINESS,BUSINESS
RELIGION,RELIGION
COMEDY,COMEDY
RELIGION,RELIGION
POLITICS,POLITICS
ENTERTAINMENT,WOMEN
SPORTS,SPORTS
RELIGION,RELIGION
SPORTS,SPORTS
ENTERTAINMENT,ENTERTAINMENT
ARTS & CULTURE,ARTS & CULTURE
ARTS & CULTURE,ARTS & CULTURE
BUSINESS,EDUCATION
BUSINESS,BUSINESS
ARTS & CULTURE,ARTS & CULTURE
RELIGION,RELIGION
EDUCATION,EDUCATION
ARTS & CULTURE,WOMEN
MEDIA,SPORTS
TECH,TECH
COMEDY,COMEDY
MEDIA,MEDIA
SCIENCE,SCIENCE
ARTS & CULTURE,RELIGION
COMEDY,ENTERTAINMENT
SPORTS,SPORTS
ENTERTAINMENT,ENTERTAINMENT
ARTS & CULTURE,ARTS & CULTURE
MEDIA,POLITICS
SPORTS,CRIME
POLITICS,POLITICS
ARTS & CULTURE,ARTS & CULTURE
ENVIRONMENT,ENVIRONMENT
ENVIRONMENT,ENVIRONMENT
BUSINESS,BUSINESS
POLITICS,POLITICS
ARTS & CULTURE,ARTS & CULTURE
BUSINESS,BUSINESS
CRIME,CRIME
BUSINESS,BUSINESS
WOMEN,WOMEN
POLITICS,TECH
ENTERTAINMENT,ENTERTAINMENT
EDUCATION,EDUCATION
MEDIA,MEDIA
ARTS & CULTURE,ARTS & CULTURE
POLITICS,POLITICS
ENTERTAINMENT,COMEDY
EDUCATION,EDUCATION
SPORTS,SPORTS
RELIGION,RELIGION
BUSINESS,BUSINESS
CRIME,CRIME
POLITICS,POLITICS
ARTS & CULTURE,ARTS & CULTURE
COMEDY,ARTS & CULTURE
WOMEN,WOMEN
SPORTS,SPORTS
ENTERTAINMENT,ENTERTAINMENT
BUSINESS,BUSINESS
ENTERTAINMENT,ENTERTAINMENT
BUSINESS,TECH
BUSINESS,EDUCATION
COMEDY,COMEDY
SPORTS,SPORTS
MEDIA,COMEDY
